Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
352912,1,One-time,,Bus,Stop Move,"57, 57A; Brighton Ave @ Linden St",construction,information,2020-01-14T05:54:48.210,further notice,,,,,,2020-01-14T05:54:48.213,further notice,Brighton Ave @ Linden St stop will relocate from the near to far side of Linden Street; to the front of 101-111 Brighton Avenue until futher notice due to ongoing construction.,,,,,False,,True,False,False,,,"Affected routes:
57
57A",eryk.rotondo,2020-01-14T05:54:58.557,False,,current,,False,True,,
352912,2,One-time,,Bus,Stop Move,57; Brighton Ave @ Linden St,construction,information,2020-01-14T05:54:48.210,further notice,,,,,,2020-01-14T05:54:48.213,further notice,Brighton Ave @ Linden St stop will relocate from the near to far side of Linden Street; to the front of 101-111 Brighton Avenue until futher notice due to ongoing construction.,,,,,False,,False,False,False,,,"Affected routes:
57
57A",Joshua.Fabian,2021-03-22T14:32:01.273,False,,current,,False,True,,
352912,3,One-time,,Bus,Stop Move,,construction,information,2020-01-14T05:54:48.210,2021-12-15T11:44:04.197,,,,,,2020-01-14T05:54:48.213,2021-12-15T11:44:04.197,Brighton Ave @ Linden St stop will relocate from the near to far side of Linden Street; to the front of 101-111 Brighton Avenue until futher notice due to ongoing construction.,,,,,False,,False,False,False,,,"Affected routes:
57
57A",eryk.rotondo,2021-12-15T11:44:04.197,True,,past,,False,True,,
370913,1,One-time,,Bus,Stop Move,1; Massachusetts Ave @ Newbury St,construction,information,2020-09-11T04:30,further notice,,,,,,2020-09-02T12:49:47.423,further notice,The stop at Massachusetts Ave @ Newbury St will relocate beginning Sept 11 to the far-side of Massachusetts Ave @ Boylston St (in front of Bank of America) due to construction.,,,,,False,,True,False,False,,,"Affected routes:
1",eryk.rotondo,2020-09-02T12:54:21.417,False,,current,,False,True,,
370913,2,One-time,,Bus,Stop Move,1; Massachusetts Ave @ Newbury St,construction,information,2020-09-11T04:30,further notice,,,,,,2020-09-02T12:49:47.423,further notice,The stop at Massachusetts Ave @ Newbury St has relocated to the far-side of Massachusetts Ave @ Boylston St (in front of Bank of America) due to construction.,,,,,False,,False,False,False,,,"Affected routes:
1",eryk.rotondo,2021-03-05T12:11:32.110,False,,current,,False,True,,
370913,3,One-time,,Bus,Stop Move,,construction,information,2020-09-11T04:30,2021-12-15T11:43:45.117,,,,,,2020-09-02T12:49:47.423,2021-12-15T11:43:45.117,The stop at Massachusetts Ave @ Newbury St has relocated to the far-side of Massachusetts Ave @ Boylston St (in front of Bank of America) due to construction.,,,,,False,,False,False,False,,,"Affected routes:
1",eryk.rotondo,2021-12-15T11:43:45.117,True,,past,,False,True,,
372735,1,One-time,,Bus,Stop Move,"108, 109, 119, 411, 426, 429; Lynn St @ Beach St",,information,2020-09-29T09:10:40.814,later today,,,,,,2020-09-29T09:10:40.813,2020-09-30T02:30,Lynn St @ Beach St passengers looking for Route 108 service will use the berth closest to the intersection. Passengers for all other routes will board at the shelter furthest from the intersection.,,,,,False,,True,False,False,,,"Affected routes:
108
109
119
411
426
429",eryk.rotondo,2020-09-29T09:10:52.360,False,,current,,False,True,,
372735,2,One-time,,Bus,Stop Move,"108, 109, 119, 411, 426, 429; Lynn St @ Beach St",,information,2020-09-29T09:10:40.814,further notice,,,,,,2020-09-29T09:10:40.813,further notice,Lynn St @ Beach St passengers looking for Route 108 service will use the berth closest to the intersection. Passengers for all other routes will board at the shelter furthest from the intersection.,,,,,False,,False,False,False,,,"Affected routes:
108
109
119
411
426
429",eryk.rotondo,2020-09-29T09:11:16.580,False,,current,,False,True,,
372735,3,One-time,,Bus,Stop Move,"108, 109, 119, 411, 426, 429; Lynn St @ Beach St",,information,2020-09-29T09:10:40.814,2021-06-20T02:30,,,,,,2020-09-29T09:10:40.813,2021-06-20T02:30,Lynn St @ Beach St passengers looking for Route 108 service will use the berth closest to the intersection. Passengers for all other routes will board at the shelter furthest from the intersection.,,,,,False,,False,False,False,,,"Affected routes:
108
109
119
411
426
429",eryk.rotondo,2021-06-11T07:03:15.097,False,,current,,False,True,,
372735,4,One-time,,Bus,Stop Move,,,information,2020-09-29T09:10:40.814,2021-06-20T02:30,,,,,,2020-09-29T09:10:40.813,2021-06-20T02:30,Lynn St @ Beach St passengers looking for Route 108 service will use the berth closest to the intersection. Passengers for all other routes will board at the shelter furthest from the intersection.,,,,,False,,False,False,False,,,"Affected routes:
108
109
119
411
426
429",expiry,2021-06-20T02:30:23.597,True,,past,,False,True,,
376418,1,One-time,,Bus,Stop Move,14; American Legion Hwy opp Franklin Hill Ave,,information,2020-11-16T04:30,further notice,,,,,,2020-11-13T08:16:05.543,further notice,The stop at American Legion Hwy opp Franklin Hill Ave will be permanently relocating to the far side of the intersection beginning the week of Nov 16.,,,,,False,,True,False,False,,,"Affected routes:
14",eryk.rotondo,2020-11-13T08:16:09.917,False,,current,,False,True,,
376418,2,One-time,,Bus,Stop Move,14; American Legion Hwy opp Franklin Hill Ave,,information,2020-11-16T04:30,2021-06-20T02:30,,,,,,2020-11-13T08:16:05.543,2021-06-20T02:30,The stop at American Legion Hwy opp Franklin Hill Ave will be permanently relocating to the far side of the intersection beginning the week of Nov 16.,,,,,False,,False,False,False,,,"Affected routes:
14",eryk.rotondo,2021-06-16T07:09:29.453,False,,current,,False,True,,
376418,3,One-time,,Bus,Stop Move,,,information,2020-11-16T04:30,2021-06-20T02:30,,,,,,2020-11-13T08:16:05.543,2021-06-20T02:30,The stop at American Legion Hwy opp Franklin Hill Ave will be permanently relocating to the far side of the intersection beginning the week of Nov 16.,,,,,False,,False,False,False,,,"Affected routes:
14",expiry,2021-06-20T02:30:23.707,True,,past,,False,True,,
384443,1,One-time,,Bus,Stop Move,9; Broadway Station (inbound),,information,2021-03-08T04:30,further notice,,,,,,2021-03-06T19:13:02.137,further notice,"Route 9 Stop Move: Effective Monday, March 8, all Route 9 inbound buses will pick up and drop off on the northbound side of Dorchester Avenue directly next to the Broadway Station entrance.",,,,,False,,True,False,False,,,"Affected routes:
9",nicholas.tomkavage,2021-03-06T19:13:05.277,False,,current,,False,True,,
384443,2,One-time,,Bus,Stop Move,9; Broadway Station,,information,2021-03-08T04:30,further notice,,,,,,2021-03-06T19:13:02.137,further notice,"Route 9 Temporary Stop Move: Effective Monday, March 8, all Route 9 inbound buses will pick up and drop off on the northbound side of Dorchester Avenue directly next to the Broadway Station entrance.",,,,,False,,False,False,False,,,"Affected routes:
9",eryk.rotondo,2021-03-08T10:53:32.460,False,,current,,False,True,,
384443,3,One-time,,Bus,Stop Move,9; Broadway Station - Red Line,,information,2021-03-08T04:30,further notice,,,,,,2021-03-06T19:13:02.137,further notice,"Route 9 Temporary Stop Move: Effective Monday, March 8, all Route 9 inbound buses will pick up and drop off on the northbound side of Dorchester Avenue directly next to the Broadway Station entrance.",,,,,False,,False,False,False,,,"Affected routes:
9",nicholas.tomkavage,2021-03-11T16:48:00.990,False,,current,,False,True,,
384443,4,One-time,,Bus,Stop Move,,,information,2021-03-08T04:30,2021-07-30T08:54:34.057,,,,,,2021-03-06T19:13:02.137,2021-07-30T08:54:34.057,"Route 9 Temporary Stop Move: Effective Monday, March 8, all Route 9 inbound buses will pick up and drop off on the northbound side of Dorchester Avenue directly next to the Broadway Station entrance.",,,,,False,,False,False,False,,,"Affected routes:
9",eryk.rotondo,2021-07-30T08:54:34.057,True,,past,,False,True,,
387357,1,One-time,,Bus,Stop Move,59; Walnut St opp Carthay Cir (inbound),,information,2021-06-20T04:30,2021-08-01T02:30,,,,,,2021-04-22T22:42:26.677,2021-08-01T02:30,"Effective June 20, the Route 59 stop Walnut St opp Carthay Cir is being moved one block north and renamed Walnut St @ Beacon St.",,,,,False,,True,False,False,,,"Affected routes:
59",nicholas.tomkavage,2021-04-22T22:42:29.980,False,,current,,False,True,,
387357,2,One-time,,Bus,Stop Move,,,information,2021-06-20T04:30,2021-08-01T02:30,,,,,,2021-04-22T22:42:26.677,2021-08-01T02:30,"Effective June 20, the Route 59 stop Walnut St opp Carthay Cir is being moved one block north and renamed Walnut St @ Beacon St.",,,,,False,,False,False,False,,,"Affected routes:
59",expiry,2021-08-01T02:30:25.293,True,,past,,False,True,,
389445,1,One-time,,Bus,Stop Move,"450, 455; North St opp Lynde St",construction,information,2021-05-24T04:30,2021-07-31T02:30,,,,,,2021-05-18T15:58:51.283,2021-07-31T02:30,"North St opp Lynde St will temporarily move to 19 North St beginning Mon, May 24 due to construction. This stop is expected to return to Lynde St on August 1.",,,,,False,,True,False,False,,,"Affected routes:
450
455",christopher.delano,2021-05-18T15:58:54.883,False,,current,,False,True,,
389445,2,One-time,,Bus,Stop Move,,construction,information,2021-05-24T04:30,2021-07-31T02:30,,,,,,2021-05-18T15:58:51.283,2021-07-31T02:30,"North St opp Lynde St will temporarily move to 19 North St beginning Mon, May 24 due to construction. This stop is expected to return to Lynde St on August 1.",,,,,False,,False,False,False,,,"Affected routes:
450
455",expiry,2021-07-31T02:30:40.403,True,,past,,False,True,,
392264,1,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 86, 96; Harvard (inbound)",,information,2021-06-20T04:30,2021-09-01T02:30,,,,,,2021-06-10T16:20:44.980,2021-09-01T02:30,"Effective Sun 6/20, the Harvard Upper Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board in the Lower Busway instead. Regular routing is in effect thru Sat 6/19.",,,,,False,,True,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",nicholas.tomkavage,2021-06-10T16:20:46.397,False,,current,,False,True,,
392264,2,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 86, 96; Harvard",,information,2021-06-20T04:30,2021-09-01T02:30,,,,,,2021-06-10T16:20:44.977,2021-09-01T02:30,"Effective Sun 6/20, the Harvard Upper Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board in the Lower Busway instead.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",nicholas.tomkavage,2021-06-20T08:41:02.133,False,,current,,False,True,,
392264,3,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 86, 96; Harvard, Mt Auburn St @ Story St",,information,2021-06-20T04:30,2021-09-01T02:30,,,,,,2021-06-10T16:20:44.977,2021-09-01T02:30,"Effective Sun 6/20, the Harvard Upper Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board in the Lower Busway instead.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",Joshua.Fabian,2021-06-30T13:25:50.107,False,,current,,False,True,,
392264,4,One-time,,Bus,Stop Move,,,information,2021-06-20T04:30,2021-07-30T06:11:43.360,,,,,,2021-06-10T16:20:44.977,2021-07-30T06:11:43.360,"Effective Sun 6/20, the Harvard Upper Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board in the Lower Busway instead.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",eryk.rotondo,2021-07-30T06:11:43.360,True,,past,,False,True,,
398221,1,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 96; Mt Auburn St @ Story St, Harvard",,information,2021-07-30T04:30,2021-09-01T02:30,,,,,,2021-07-30T04:30,2021-09-01T02:30,"Effective Fri 7/30, the Harvard Lower Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway instead.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",nicholas.tomkavage,2021-07-29T22:58:05.313,False,,future,,False,False,,
398221,2,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 96; Mt Auburn St @ Story St, Harvard",,information,2021-07-30T04:30,2021-09-01T02:30,,,,,,2021-07-30T04:30,2021-09-01T02:30,"Effective Fri 7/30, the Harvard Lower Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",nicholas.tomkavage,2021-07-29T23:00:52.143,False,,future,,False,True,,
398221,3,One-time,,Bus,Stop Move,,,information,2021-07-30T04:30,2021-09-01T02:30,,,,,,2021-07-30T04:30,2021-09-01T02:30,"Effective Fri 7/30, the Harvard Lower Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,True,False,False,,,"Affected routes:
71
73
74
75
77
78
96",nicholas.tomkavage,2021-07-29T23:00:52.143,False,,current,,False,True,,
398221,4,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 96; Mt Auburn St @ Story St, Harvard",,information,2021-07-30T04:30,2021-08-29T02:30,,,,,,2021-07-30T04:30,2021-08-29T02:30,"Effective Fri 7/30, the Harvard Lower Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",eryk.rotondo,2021-08-26T05:35:12.797,False,,current,,False,True,,
398221,5,One-time,,Bus,Stop Move,,,information,2021-07-30T04:30,2021-08-29T02:30,,,,,,2021-07-30T04:30,2021-08-29T02:30,"Effective Fri 7/30, the Harvard Lower Busway will close for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",expiry,2021-08-29T02:30:26.343,True,,past,,False,True,,
398736,1,One-time,,Bus,Stop Move,"350, 62, 67, 76; Alewife (inbound)",construction,information,2021-08-03T10:30,further notice,,,,,,2021-08-03T08:37:41.247,further notice,Route 350 will be using the Route 351 berth at Alewife beginning at 10:30 AM this morning until further notice due to construction.,,,,,False,,True,False,False,,,,eryk.rotondo,2021-08-03T08:37:48.363,False,,current,,False,True,,
398736,2,One-time,,Bus,Stop Move,,construction,information,2021-08-03T10:30,2021-08-03T11:22:48.910,,,,,,2021-08-03T08:37:41.247,2021-08-03T11:22:48.910,Route 350 will be using the Route 351 berth at Alewife beginning at 10:30 AM this morning until further notice due to construction.,,,,,False,,False,False,False,,,,eryk.rotondo,2021-08-03T11:22:48.910,True,,past,,False,True,,
398750,1,One-time,,Bus,Stop Move,"69, 83; Hampshire St @ Cambridge St, Hampshire St @ Inman St",,information,2021-08-03T10:08:25.887,2021-08-05T02:30,,,,,,2021-08-03T10:08:25.887,2021-08-05T02:30,"The stops at Hampshire St @ Cambridge St & Hampshire St @ Inman St will be closed through Wed, Aug 4 for construction. Temporary stops: OB 193/195 Hampshire Street - IB 192 Hampshire Street",,,,,False,,False,False,False,,,"Affected routes:
69
83",eryk.rotondo,2021-08-03T10:08:33.807,False,,current,,False,True,,
398750,2,One-time,,Bus,Stop Move,,,information,2021-08-03T10:08:25.887,2021-08-03T13:04:16.213,,,,,,2021-08-03T10:08:25.887,2021-08-03T13:04:16.213,"The stops at Hampshire St @ Cambridge St & Hampshire St @ Inman St will be closed through Wed, Aug 4 for construction. Temporary stops: OB 193/195 Hampshire Street - IB 192 Hampshire Street",,,,,False,,False,False,False,,,"Affected routes:
69
83",eryk.rotondo,2021-08-03T13:04:16.213,True,,past,,False,True,,
400058,1,Recurring,,Bus,Stop Move,"22, 29, 44; Columbus Ave @ Weld Ave, Columbus Ave opp Weld Ave",,information,2021-08-14T07:00,2021-08-14T19:00,2021-08-14T04:30,2021-08-29T02:30,07:00:00,19:00:00,Saturday,2021-08-12T13:10:39.143,2021-08-28T19:00,"The stops at Columbus Ave @ Weld Ave & Columbus Ave opp Weld Ave will be closed from 7:00 AM to 7:00 PM on Saturday, August 14, 21 & 28. Connections can be made at Columbus Ave @ Walnut Ave. This diversion is to allow for paving on Columbus Ave.",,,,,False,,True,False,False,,,"Affected routes:
22
29
44",eryk.rotondo,2021-08-12T13:10:54.340,False,,current,,False,True,,
400058,2,Recurring,,Bus,Stop Move,,,information,2021-08-28T07:00,2021-08-28T19:00,2021-08-14T04:30,2021-08-28T19:00:17.313,07:00:00,19:00:00,Saturday,2021-08-12T13:10:39.143,2021-08-28T19:00,"The stops at Columbus Ave @ Weld Ave & Columbus Ave opp Weld Ave will be closed from 7:00 AM to 7:00 PM on Saturday, August 14, 21 & 28. Connections can be made at Columbus Ave @ Walnut Ave. This diversion is to allow for paving on Columbus Ave.",,,,,False,,False,False,False,,,"Affected routes:
22
29
44",expiry,2021-08-28T19:00:17.313,True,,past,,False,True,,
401247,1,One-time,,Bus,Stop Move,"83; Beacon St @ Calvin St, Beacon St @ Smith Ave",,information,2021-08-24T04:30,2021-08-24T17:00,,,,,,2021-08-20T13:14:01.937,2021-08-24T17:00,The stops at Beacon St @ Calvin St & Beacon St @ Smith Ave will be closed on 8/24 until 5:00 PM for utility work. IB connections: Beacon St @ Washington St or Beacon St @ Cooney. OB connections: The temporary stop at 123 Beacon St.,,,,,False,,True,False,False,,,"Affected routes:
83",eryk.rotondo,2021-08-20T13:15:48.213,False,,current,,False,True,,
401247,2,One-time,,Bus,Stop Move,,,information,2021-08-24T04:30,2021-08-24T17:00,,,,,,2021-08-20T13:14:01.937,2021-08-24T17:00,The stops at Beacon St @ Calvin St & Beacon St @ Smith Ave will be closed on 8/24 until 5:00 PM for utility work. IB connections: Beacon St @ Washington St or Beacon St @ Cooney. OB connections: The temporary stop at 123 Beacon St.,,,,,False,,False,False,False,,,"Affected routes:
83",expiry,2021-08-24T17:00:17.063,True,,past,,False,True,,
411493,1,One-time,,Bus,Stop Move,"505, 553, 554, 556, 558; 113 Crescent St",,information,2021-10-14T23:14:33.882,later today,,,,,,2021-10-14T23:14:33.883,2021-10-15T02:30,TEST: 113 Crescent St stop moving,,,,,False,,False,False,False,,,"Affected routes:
505
553
554
556
558",test.IBI.cognito.user,2021-10-14T23:14:40.160,False,,current,,False,True,,
411493,2,One-time,,Bus,Stop Move,,,information,2021-10-14T23:14:33.882,2021-10-14T23:16:50.053,,,,,,2021-10-14T23:14:33.883,2021-10-14T23:16:50.053,TEST: 113 Crescent St stop moving,,,,,False,,False,False,False,,,"Affected routes:
505
553
554
556
558",test.IBI.cognito.user,2021-10-14T23:16:50.053,True,,past,,False,True,,
414430,1,One-time,,Bus,Stop Move,"88, 90; 125 Highland Ave (outbound)",construction,information,2021-10-27T17:09:08.199,later today,,,,,,2021-10-27T17:09:08.200,2021-10-28T02:30,"Effective Thurs 10/28, through Weds 11/3, Rt 88 & 90 stop at 125 Highland Ave will be temporarily moved to 131 Highland Ave for road work.",,,,,False,,True,False,False,,,"Affected routes:
88
90",nicholas.tomkavage,2021-10-27T17:09:10.697,False,,current,,False,True,,
414430,2,One-time,,Bus,Stop Move,,construction,information,2021-10-27T17:09:08.199,2021-10-28T02:27:02.173,,,,,,2021-10-27T17:09:08.200,2021-10-28T02:27:02.173,"Effective Thurs 10/28, through Weds 11/3, Rt 88 & 90 stop at 125 Highland Ave will be temporarily moved to 131 Highland Ave for road work.",,,,,False,,False,False,False,,,"Affected routes:
88
90",expiry,2021-10-28T02:27:02.173,True,,past,,False,True,,
414594,1,One-time,,Bus,Stop Move,"71, 73; Mt Auburn St @ Story St",,information,2021-10-28T20:45,2021-10-29T02:30,,,,,,2021-10-28T08:16:04.330,2021-10-29T02:30,"On Oct 28 & Nov 3, the Harvard Upper Busway will close beginning 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board in the Lower Busway instead.",,,,,False,,True,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",eryk.rotondo,2021-10-28T08:16:55.393,False,,current,,False,True,,
414594,2,One-time,,Bus,Stop Move,"71, 73; Mt Auburn St @ Story St",,information,2021-10-28T20:45,2021-10-29T02:30,,,,,,2021-10-28T08:16:04.330,2021-10-29T02:30,"On Oct 28 & Nov 3, the Harvard Upper Busway will close beginning 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board at Johnson Gate.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",eryk.rotondo,2021-10-28T08:21:26.800,False,,current,,False,True,,
414594,3,One-time,,Bus,Stop Move,"The Red Line Alewife-Harvard shuttle, 71, 73, 74, 75, 77, 78, 86, 96; Harvard, Mt Auburn St @ Story St",,information,2021-10-28T20:45,2021-10-29T02:30,,,,,,2021-10-28T08:16:04.330,2021-10-29T02:30,"On Oct 28 & Nov 3, the Harvard Upper Busway will close beginning 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board at Johnson Gate.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",nicholas.tomkavage,2021-10-28T16:34:10.960,False,,current,,False,True,,
414594,4,One-time,,Bus,Stop Move,,,information,2021-10-28T20:45,2021-10-29T02:30,,,,,,2021-10-28T08:16:04.330,2021-10-29T02:30,"On Oct 28 & Nov 3, the Harvard Upper Busway will close beginning 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board at Johnson Gate.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",expiry,2021-10-29T02:31:35.457,True,,past,,False,True,,
414596,1,One-time,,Bus,Stop Move,"71, 73; Mt Auburn St @ Story St",,information,2021-10-28T08:24:29.621,later today,,,,,,2021-10-28T08:24:29.623,2021-10-29T02:30,"On Nov 4, the Harvard Lower Busway will close at 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",eryk.rotondo,2021-10-28T08:24:31.237,False,,current,,False,True,,
414596,2,One-time,,Bus,Stop Move,"The Red Line Alewife-Harvard shuttle, 71, 73, 74, 75, 77, 78, 96; Harvard, Mt Auburn St @ Story St",,information,2021-10-28T08:24:29.620,later today,,,,,,2021-10-28T08:24:29.623,2021-10-29T02:30,"On Nov 4, the Harvard Lower Busway will close at 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",nicholas.tomkavage,2021-10-28T16:35:08.133,False,,current,,False,True,,
414596,3,One-time,,Bus,Stop Move,,,information,2021-10-28T08:24:29.620,2021-10-29T02:26:35.653,,,,,,2021-10-28T08:24:29.623,2021-10-29T02:26:35.653,"On Nov 4, the Harvard Lower Busway will close at 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",expiry,2021-10-29T02:26:35.653,True,,past,,False,True,,
414815,1,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 96, The Red Line Alewife-Harvard shuttle; Mt Auburn St @ Story St, Harvard",,information,2021-11-04T20:45,2021-11-05T02:30,,,,,,2021-10-29T05:14:23.407,2021-11-05T02:30,"On Nov 4, the Harvard Lower Busway will close at 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",eryk.rotondo,2021-10-29T05:14:25.080,False,,current,,False,True,,
414815,2,One-time,,Bus,Stop Move,,,information,2021-11-04T20:45,2021-11-05T02:30,,,,,,2021-10-29T05:14:23.407,2021-11-05T02:30,"On Nov 4, the Harvard Lower Busway will close at 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, & 96 will board in the Upper Busway.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
96",expiry,2021-11-05T02:30:18.503,True,,past,,False,True,,
414816,1,One-time,,Bus,Stop Move,"71, 73, 74, 75, 77, 78, 86, 96, The Red Line Alewife-Harvard shuttle; Mt Auburn St @ Story St, Harvard",,information,2021-11-03T20:45,2021-11-04T02:30,,,,,,2021-10-29T05:16:43.310,2021-11-04T02:30,"On Nov 3, the Harvard Upper Busway will close beginning 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board at Johnson Gate.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",eryk.rotondo,2021-10-29T05:16:50.643,False,,current,,False,True,,
414816,2,One-time,,Bus,Stop Move,,,information,2021-11-03T20:45,2021-11-04T02:30,,,,,,2021-10-29T05:16:43.310,2021-11-04T02:30,"On Nov 3, the Harvard Upper Busway will close beginning 8:45 PM through the end of service for construction. Routes 71 & 73 will board at Mt Auburn St @ Story St. Routes 74, 75, 77, 78, 86 & 96 will board at Johnson Gate.",,,,,False,,False,False,False,,,"Affected routes:
71
73
74
75
77
78
86
96",expiry,2021-11-04T02:30:16.917,True,,past,,False,True,,
415658,1,One-time,,Bus,Stop Move,69; Cambridge St @ Lambert St,construction,information,2021-11-08T04:30,2022-01-16T02:30,,,,,,2021-11-02T13:00:34.947,2022-01-16T02:30,"The stop at Cambridge St @ Lambert St will be moved to the far side of Warren St from Mon, Nov 8, through Sat, Jan 15, due to sidewalk work.",,,,,False,,True,False,False,,,"Affected routes:
69",eryk.rotondo,2021-11-02T13:00:47.110,False,,current,,False,True,,
415658,2,One-time,,Bus,Stop Move,69; Cambridge St @ Lambert St,construction,information,2021-11-08T04:30,2022-01-16T02:30,,,,,,2021-11-02T13:00:34.947,2022-01-16T02:30,"The stop at Cambridge St @ Lambert St has been moved to the far side of Warren St through Sat, Jan 15, due to sidewalk work.",,,,,False,,False,False,False,,,"Affected routes:
69",eryk.rotondo,2021-12-15T11:50:27.620,False,,current,,False,True,,
415658,3,One-time,,Bus,Stop Move,,construction,information,2021-11-08T04:30,2022-01-16T02:30,,,,,,2021-11-02T13:00:34.947,2022-01-16T02:30,"The stop at Cambridge St @ Lambert St has been moved to the far side of Warren St through Sat, Jan 15, due to sidewalk work.",,,,,False,,False,False,False,,,"Affected routes:
69",expiry,2022-01-16T02:30:16.327,True,,past,,False,True,,
416656,1,One-time,,Bus,Stop Move,"86, 91; Washington St @ Mt Vernon St",,information,2021-11-15T04:30,further notice,,,,,,2021-11-08T14:44:04.153,further notice,"Effective Monday, Nov. 15: Washington St @ Mt Vernon St will move between Pickney St and Mt. Vernon St.",,,,,False,,False,False,False,,,"Affected routes:
86
91",christopher.delano,2021-11-08T14:44:10.623,False,2021-11-15T05:00 send bulletin; 2021-11-14T09:00 send bulletin,current,,False,True,,
